device, n_layers,n_heads,d_ff,d_model,max_context_length,vocab_size,batch_size,avg_forward_time,std_forward_time,avg_backward_time, std_backward_time
mps,12,12,3072,768,256,10000,4,0.033013937529176474,0.009541214953141095,0.17615942489355801,0.01893686200074753
mps,24,16,4096,1024,256,10000,4,0.18404015006963165,0.14477571732321387,0.48835755409672854,0.043387829113339334
mps,36,20,5120,1280,256,10000,4,0.36458153318380937,0.13059044052515997,1.113646570930723,0.29911273195712484
mps,48,25,6400,1600,256,10000,4,2.1366403499152513,2.738802854989384,6.706267999915871,8.607596238438441
mps,32,32,10240,2560,256,10000,4,132.50803464179626,59.43498197783791,360.7300181336235,103.09330876002616
